Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2016,II,Furcifer pardalis,Reptilia,Sauria,Chamaeleonidae,Furcifer,PH,US,,10.0,,live,,B,F
2016,II,Pectinia spp.,Anthozoa,Scleractinia,Pectiniidae,Pectinia,JP,ID,,,218.0,live,,T,F
2016,II,Millepora spp.,Hydrozoa,Milleporina,Milleporidae,Millepora,HK,TO,,4.0,,live,,T,W
2016,III,Pavo cristatus,Aves,Galliformes,Phasianidae,Pavo,SG,JP,IN,,1.0,feathers,,T,W
2016,II,Iguana iguana,Reptilia,Sauria,Iguanidae,Iguana,PA,US,SV,,16.0,live,,T,C
2016,II,Plerogyra turbida,Anthozoa,Scleractinia,Caryophylliidae,Plerogyra,AE,ID,,6.0,337.0,live,,T,W
2016,II,Strombus gigas,Gastropoda,Mesogastropoda,Strombidae,Strombus,JP,BS,,1393.0,906.0,pearl,,T,W
2016,II,Cypripedium flavum,,Orchidales,Orchidaceae,Cypripedium,US,CN,,,50.0,live,,T,A
2016,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,US,AE,ZW,,2.0,leather products (small),,P,C
2016,II,Scleractinia spp.,Anthozoa,Scleractinia,,,CR,US,FJ,,46.0,raw corals,,T,W
2016,II,Epidendrum hybrid,,Orchidales,Orchidaceae,Epidendrum,DO,TW,,1500.0,,live,,T,A
2016,III,Corallium spp.,Anthozoa,Gorgonacea,Coralliidae,Corallium,HK,DE,XX,5.0,,jewellery,,T,O
2016,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,TH,HK,SD,,7.0,leather products (small),,T,W
2016,II,Bulnesia sarmientoi,,Sapindales,Zygophyllaceae,Bulnesia,ZA,ES,PY,,10.0,oil,kg,T,W
2016,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,CN,CH,TD,99.0,,leather products (small),,T,W
2016,II,Arundina graminifolia,,Orchidales,Orchidaceae,Arundina,US,MY,,,50.0,live,,T,A
2016,II,Polyplectron bicalcaratum,Aves,Galliformes,Phasianidae,Polyplectron,PK,NL,,,8.0,live,,T,C
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,4.0,,meat,,T,I
2016,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,JP,US,,,80.0,seeds,,T,D
2016,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,US,CN,,,40.0,live,,T,A
2016,II,Mammillaria plumosa,,Caryophyllales,Cactaceae,Mammillaria,ME,NL,,,4.0,live,,,A
2016,II,Tursiops truncatus,Mammalia,Cetacea,Delphinidae,Tursiops,KR,CN,,,68.0,specimens,,E,W
2016,II,Dendrobium lineale,,Orchidales,Orchidaceae,Dendrobium,JP,ID,,,5.0,live,,Q,A
2016,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,IT,CH,ZW,1.0,,skin pieces,,T,C
2016,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,US,GB,VN,2.0,,leather products (small),,P,W
2016,II,Tubipora musica,Anthozoa,Stolonifera,Tubiporidae,Tubipora,DE,ID,,29.0,77.0,live,,T,F
2016,II,Mammillaria spp.,,Caryophyllales,Cactaceae,Mammillaria,GH,NL,,,60.0,live,,,A
2016,II,Dendrobium nemorale,,Orchidales,Orchidaceae,Dendrobium,DE,PH,,7.0,7.0,live,,T,A
2016,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,US,FR,ZW,859.0,657.16,leather products (small),,T,R
2016,I,Scleropages formosus,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,NZ,SG,,47.0,49.0,live,,T,D
2016,II,Crocodylus spp.,Reptilia,Crocodylia,Crocodylidae,Crocodylus,US,GH,,12.0,,leather products (small),,T,I
2016,II,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,CL,ZW,,9.0,9.0,leather products (small),,H,W
2016,II,Echinopsis chiloensis,,Caryophyllales,Cactaceae,Echinopsis,CZ,CL,,41.0,,derivatives,,T,W
2016,II,Aloe humilis,,Liliales,Liliaceae,Aloe,UA,NL,,,328.0,live,,,A
2016,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,BE,US,138.0,,leather products (small),,T,W
2016,II,Appendicula spp.,,Orchidales,Orchidaceae,Appendicula,HK,LA,,3.0,,leaves,,S,A
2016,II,Acipenser hybrid,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,MX,DE,,,0.0151,extract,kg,T,C
2016,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,NO,CA,,1.0,,trophies,,P,W
2016,II,Caiman crocodilus yacare,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,JP,BO,22.0,22.0,leather products (small),,T,C
2016,II,Bulbophyllum blepharistes,,Orchidales,Orchidaceae,Bulbophyllum,SG,MY,,,4.0,live,,T,A
2016,II,Lynx rufus,Mammalia,Carnivora,Felidae,Lynx,KR,HK,US,,1.0,garments,,T,W
2016,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,CN,DE,PG,,79.0,leather products (small),,T,W
2016,II,Goniastrea spp.,Anthozoa,Scleractinia,Faviidae,Goniastrea,GB,FJ,,32.0,,live,,T,W
2016,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,RU,IT,ZA,,2577.0,leather products (small),,T,C
2016,II,Varanus niloticus,Reptilia,Sauria,Varanidae,Varanus,SA,DE,SD,,20.0,leather products (small),,T,W
2016,II,Scleractinia spp.,Anthozoa,Scleractinia,,,MX,US,ID,,243.0,live,,T,W
2016,II,Acropora spp.,Anthozoa,Scleractinia,Acroporidae,Acropora,US,ID,,932.0,110359.0,live,,T,F
2016,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,GB,XX,,1.0,ivory carvings,,P,O
2016,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,OM,CN,FR,8.5,,eggs,,T,C
2016,I,Microcebus sambiranensis,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,9.2,9.2,specimens,mg,S,W
